"Article_ID";"Date";"Title";"Subject";"Topic.Code"
41621;"11-Feb-96";"MAIN STREET, JAPAN: For Better or for Worse; Who Needs Love! In Japan, Many Couples Don't";"marriage in japan";19
41632;"12-Feb-96";"Pataki Bans Logging";"NY governor bans commerical logging";7
41644;"13-Feb-96";"Chancellor Crew Takes Over Two Bronx School Districts";"chancellor seizes two NYC school districts";6
41656;"15-Feb-96";"4 NETWORKS PLAN A RATINGS SYSTEM FOR THEIR SHOWS";"tv networks develop a rating system";17
41666;"16-Feb-96";"Milnerton Journal; This $40 Crank-Up Radio Lets Rural Africa Tune In";"radios in africa";19
41678;"17-Feb-96";"Not a Blizzard but Still Trouble";"snow in NYC";26
41690;"18-Feb-96";"Clinton Urged To Cite Mexico For Drug Flow";"clinton angry about drugs in mexico";12
41702;"20-Feb-96";"Bus Blast Claimed by the I.R.A.; Bomber May Be One of Victims";"bomb in london";19
41713;"21-Feb-96";"In Era of Fiscal Damage Control, Cities Fight Idea of 'Tax Exempt'";"city taxation issues";1
41725;"22-Feb-96";"Short of Money, the French Face Cuts in Their Cherished Military";"french cutting their military";19
41736;"23-Feb-96";"RUSSIA AND I.M.F. AGREE ON A LOAN FOR $10.2 BILLION";"russia gets an IMF loan";19
41737;"24-Feb-96";"ALBANY'S TAX CUT FACING CHALLENGE";"tax cut in NY";24
41758;"26-Feb-96";"POLITICS: THE PRIMARY SPRINT; COMING PRIMARIES ARE UP FOR GRABS AFTER MIXED VOTE";"republican primary";20
41770;"27-Feb-96";"POLITICS: BOB DOLE; With Dole Campaign Off Track, He Puts 2 Advisers Off the Team";"bob dole campaign shakeup";20
41781;"28-Feb-96";"U.S. SAYS CUBANS KNEW THEY FIRED ON CIVILIAN PLANES";"US releases info on cuban plane attacks";19
41792;"29-Feb-96";"POLITICS: THE ISSUES; South Carolina Is a Crossroads For the G.O.P.";"south carolina primary";20
41803;"2-Mar-96";"Clinton Grants Visa To Sinn Fein Leader";"bill clinton lets a sinn fein leader come to the US";19
41815;"3-Mar-96";"POLITICS: CHANGING DIRECTION; DOLE EASILY BEATS BUCHANAN TO WIN IN SOUTH CAROLINA";"dole wins in south carolina";20
41826;"4-Mar-96";"Marguerite Duras, 81, Novelist and Screenwriter";"novelist dies";30
41838;"6-Mar-96";"Move in Senate Aims at Cutting Corporate Aid";"senate tries to end corporate welfare";1
41848;"7-Mar-96";"Target Was Israeli Government, Says Arab Linked to 3 Bombings";"suspect in a bombing in israel";19
41860;"8-Mar-96";"The Politics of Layoffs: In Search of a Message";"democratic strategy";20
41870;"9-Mar-96";"A Search for Answers To Avoid the Layoffs";"trying to avoid layoffs";15
41883;"11-Mar-96";"POLITICS: PATRICK J. BUCHANAN; Buchanan Keeps Campaigning, For the Issues, and the Fun of It";"pat buchanan campaign";20
41893;"12-Mar-96";"Jet Makers Preparing Bids For a Rich Pentagon Prize";"jet makers putting in bids";16
41905;"13-Mar-96";"MIDDLE EAST TALKS ARE EFFORT TO AID PERES AND ARAFAT";"mideast peace talks";19
41917;"15-Mar-96";"Dole Courts Democrats";"bob dole campaigns for democrats";20
41928;"16-Mar-96";"A Traveler Returns";"comet returns to the area";17
41940;"17-Mar-96";"Cost-Cutting Strategy";"GM cutting costs";15
41951;"18-Mar-96";"FEDERAL THRUST AGAINST TOBACCO GETS NEW VIGOR";"anti-tobacco efforts by the federal govt";3
41962;"19-Mar-96";"A Final Salute";"funeral of a slain police officer";12
41973;"21-Mar-96";"Suspend Disbelief for the Moment, It's Spring";"spring weather";26
41984;"22-Mar-96";"CLINTON PRESSING JUDGE TO RELENT";"criticism of a clinton judge nominee";20
41996;"23-Mar-96";"HOUSE APPROVES REPEALING OF BAN ON ASSAULT GUNS";"house approves repeal of assault rifle ban";12
42006;"24-Mar-96";"Guatemalans Covered Up Killing Of an American, U.S. Aides Say";"guatemalans cover up a killing of an american";19
42018;"25-Mar-96";"From One Serbian Militia Chief, A Trail of Plunder and Slaughter";"serbian war crimes";19
42029;"27-Mar-96";"Dole Blocks Vote on Raising Minimum Wage";"bob dole blocks a raise on the minimum wage";5
42040;"28-Mar-96";"Rabin's Killer Is Given a Life Sentence in Israel";"sentence for rabin assassin";19
42051;"29-Mar-96";"F.A.A. to Streamline Rules That Gave It Obsolescence";"FAA changing rules";10
42061;"30-Mar-96";"Abortion Group to Advise Doctors On Drug Used to End Pregnancy";"abortion drug";2
42074;"31-Mar-96";"Queens Old-Timers Uneasy As Asian Influence Grows";"asians in queens";5
42085;"1-Apr-96";"POLITICS: IN CONGRESS; The Speaker's Gruff No. 2 Takes Charge in the House";"dick armey";20
42096;"3-Apr-96";"In Bosnia Field, Changes Refuel Talk of Graves";"war crimes investigation in bosnia";19
42108;"4-Apr-96";"CRASH IN THE BALKANS: THE RESCUE; A Storm-Swept Mountain's Grim Story";"crash kills commerce secretary";30
42119;"5-Apr-96";"CRASH IN THE BALKANS: THE OVERVIEW; Bad Equipment Tied to Crash, Perry Suggests";"investigation into crash";30
42130;"7-Apr-96";"A Search Through Time";"unabomber case";16
42142;"8-Apr-96";"The Race for Congress: Texas' 14th District; Under Fire, a G.O.P. Convert Wins Party's Fierce Loyalty";"congressional race in texas";20
42152;"9-Apr-96";"U.S. Ready to Rescue Americans From Fighting in Liberia Capital";"US to rescue americans in liberia";16
42164;"10-Apr-96";"The Pulitzer Prizes";"pulitzer prize awards";28
42175;"12-Apr-96";"Defying Polls, Gingrich Raises Big Money";"newt gingrich fund raising";20
42186;"13-Apr-96";"Trade Representative Picked As New Commerce Secretary";"new commerce secretary";20
42198;"14-Apr-96";"CHILDREN FOR SALE -- A special report.; Asian Childhoods Sacrificed to Prosperity's Lust";"sex slavery in asia";19
42209;"15-Apr-96";"Tight Security Gets Tighter As a Sad Anniversary Nears";"anniversary of waco fire";16
42221;"16-Apr-96";"U.S. Helps to Start Negotiations To End the Fighting in Lebanon";"US involved in negotiations in lebanon";19
42232;"17-Apr-96";"New York Council to Ask Voters To Postpone Limits on Its Terms";"NY council term limits";24
42243;"19-Apr-96";"Senate Defeats Dole Revision To Health Bill";"bob dole tries to revise a health bill";3
42254;"20-Apr-96";"ASSEMBLY LEADERS YIELD ON WELFARE";"ny welfare reform";13
42266;"21-Apr-96";"Whitewater Case at Crossroads, Prosecutor Faces More Scrutiny";"whitewater scandal";20
42277;"22-Apr-96";"Dole Concedes Wage Increase Will Win Vote";"dole says a minimum wage increase will win";5
42288;"24-Apr-96";"Passing of Regents' Exams To Be Required for Diploma";"NY diploma requirements";6
42301;"25-Apr-96";"On Daughters-at-Work Day, Some Are Including the Sons";"take our daughter to work day";2
42311;"26-Apr-96";"Albany's Health Care Lobby Courts Clout With Dollars";"health care lobby in new york politics";20
42323;"27-Apr-96";"Schools Head Urges Abolishing Tenure for New York Principals";"tenure for NY principals";6
42334;"28-Apr-96";"Upheaval and Calm as Big Dig Transforms Boston";"big dig in boston";10
42345;"30-Apr-96";"California's Governor Joins G.O.P. Abortion-Plank Foes";"california governor and abortion";2
42357;"1-May-96";"SUNY Chancellor Resigns Post After Battling Pataki's Trustees";"SUNY Chancellor Resigns";6
42368;"2-May-96";"Muse of Anti-Yeltsin Forces: He Is Feared, Never Ignored";"Russian Elections: Aleksandr Prokhanov, mastermind behind Communist Party Opposition to Yeltsin";19
42379;"3-May-96";"SENATE VOTES BILL TO REDUCE INFLUX OF ILLEGAL ALIENS";"Illegal Immigration Legislation";5
42390;"4-May-96";"SUNY: Grand Vision and Pragmatism Collide";"Pataki Criticizes SUNY";6
42401;"5-May-96";"2 Governors Back $130 Million Plan To Deepen Harbor";"NY and NJ Plan to Deepen Shipping Channels";21
42412;"6-May-96";"With Fortune Built, Packard Heirs Look To Build a Legacy";"Packard Foundation to Become Top Private Charity";99
42423;"7-May-96";"Russia's Communists Have New, Mixed Manifesto";"Russian Presidential Election; Economice Policies of Communist Candidate";19
42435;"9-May-96";"ABC Joins Others TV Time";"ABC Joins Other Networks in Offering Time to Candidates";17
42447;"10-May-96";"GIULIANI'S BUDGET PLAN: THE OVERVIEW; Giuliani Offers an Austere $32.7 Billion Budget";"Guiliani's 1997 Fiscal Budget";24
42456;"11-May-96";"Perot Group Falls Far Short Of Original Political Vision";"Perot's Effort to Build Third Party; ""Truth Squad"" Vision";20
42469;"12-May-96";"109 Feared Dead as Jet Crashes in Everglades";"Jet Crashes in Everglades";10
42481;"14-May-96";"HIGH COURT SAYS LIQUOR PRICE ADS CAN'T BE BANNED";"Supreme Court Strikes Down Ban on Advertising Liquor Prices; Free Speech Violation";2
42492;"15-May-96";"Inquiry Turns To Chemicals In Jet's Cargo";"Everglades Crash Invesitigation";10
42503;"16-May-96";"POLITICS: NEWS ANALYSIS; Going 'Outside': Bold, Maybe Perilous";"Dole Resignation from Senate";20
42514;"17-May-96";"Neither Ridicule Nor Rancor Halts Gorbachev Election Bid";"Gorbachev's Election Bid";19
42526;"19-May-96";"A Glimpse Into a Vanished Past";"Photo Exhibit Of Jewish Life in Poland";19
42538;"20-May-96";"Watching the Shuttle Soar";"space shuttle launch";17
42549;"21-May-96";"Despite Tensions, Clinton Urges Renewal of China's Trade Status";"Clinton lobbies for MFN status for China; end IPR embargo";18
42560;"22-May-96";"Heat Forces Halting of Power to 40% of Queens";"Queens Power Outage";8
42571;"23-May-96";"Vote Canceled on Dole's Bill For a Costly Missile Defense";"Dole's Proposal for a Missile Defense Shield";16
42583;"25-May-96";"A New Kansas Senator";"new kansas senator";20
42594;"26-May-96";"Rifts in G.O.P. Are Widening In Many States";"Division within Republican party facing Congressional elections";20
42605;"27-May-96";"Updated, Drive to Cut Taxes Regains Currency in G.O.P.";"Dole, Republican party moving toward tax cut agenda";1
42616;"28-May-96";"Five Decades Later, a Fighter Pilot's Final Flight Ends";"Burial of WWII fighter pilot found five decades later";16
42627;"29-May-96";"CLINTON PARTNERS IN ARKANSAS DEAL CONVICTED BY JURY";"Whitewater verdict";20
42639;"31-May-96";"Tokyo Journal; Japan vs. Korea, Again, and Both Cry 'Foul!'";"Competition between Japan and S. Korea to host 2002 World Cup";19
42650;"1-Jun-96";"Muslims in Sarajevo Take Over Homes of Serbs Who Fled War";"Muslim Bosnian government expropriates homes of Serbs";19
42662;"2-Jun-96";"F.A.A. STRUGGLES AS AIRLINES TURN TO SUBCONTRACTS";"Airlines subcontracting duties, FAA dificulties";10
42674;"3-Jun-96";"RAID AND RELEASE -- A special report.; A Tattered Crackdown on Illegal Workers";"Crackdown on illegal immigrants in workforce";5
42683;"4-Jun-96";"PRIVATE HOSPITALS IN NEW YORK SIGNAL A DEEPENING CRISIS";"NYC private hospitals in financial crisis in move toward managed care";3
42695;"6-Jun-96";"To Win Russia's 'Generation X,' Yeltsin Is Pumping Up the Volume";"Russian Election; Yeltsin Campaign";19
42706;"7-Jun-96";"In Concession, China Is Ready To Ban A-Tests";"China agrees to end nuclear explosions done for non-military purposes";19
42718;"8-Jun-96";"HEALTH CARE BILL FAILS OVER DISPUTE BETWEEN PARTIES";"disputes over incremental insurance reform";3
42728;"9-Jun-96";"A RIVER RECLAIMED: Reversing Pollution's Toll -- First of two articles.; Shaking Off Man's Taint, Hudson Pulses With Life";"Waste in Hudson River; viability of fish threatened";7
42740;"11-Jun-96";"FILLING IN BLANKS ON ABORTION ISSUE, DOLE CREATES STIR";"Dole Abortion platform";2
42752;"12-Jun-96";"Mayor and Council Hold Strings For $276 Million Schools Pledge";"Giuliani plans government intervention in NY schools";6
42763;"13-Jun-96";"Lott Defeats Fellow Mississippian As Republican Leader of Senate";"Senate Majority race; Lott  defeats Cochran";20
42774;"14-Jun-96";"Zhirinovsky Savors Russian Kingmaker Role";"Russian election; radical candidate Zhirinovsky";19
42786;"16-Jun-96";"Ella Fitzgerald, the Voice of Jazz, Dies at 79";"Ella Fitzgerald death notice";30
42797;"17-Jun-96";"Big New Loss Makes Japan Look Inward";"Japan loses money in stock exchange";19
42808;"18-Jun-96";"White House Announces Leave For Official Who Collected Files";"Craig Livingstone placed on leave for involvment in FBI files case in White House";20
42819;"19-Jun-96";"Inquiry Into Files";"FBI conducts Whitewater inquiry";20
42831;"21-Jun-96";"SHAKE-UP IN RUSSIA: THE OVERVIEW; ELECTION LOOMING, YELTSIN DISMISSES 3 TOP HARD-LINERS";"Russian election; Yeltsin dismisses advisors";19
42842;"22-Jun-96";"Serb Gangs Rule in Last-Chance Fief of U.N.";"UN involvement in Eastern Slavonia";19
42853;"23-Jun-96";"Greek Ex-Premier Dies";"greek politician dies";19
42864;"24-Jun-96";"BEYOND THE BOARDWALK -- A special report.; With Cash Rolling In, Atlantic City Raises Stakes";"Atlantic City expands with gambling industry";15
42876;"26-Jun-96";"Dole Requests a Meeting and Gets a Bonus";"abortion and bob dole";2
42887;"27-Jun-96";"BOMBING IN SAUDI ARABIA: THE OVERVIEW; Saudis, Aided by the F.B.I., Seek Blast Clues";"Bomb kills US military personnel in Saudi Arabia";16
42898;"28-Jun-96";"U.N. Court, for First Time, Defines Rape as War Crime";"UN Court indicts Bosnian officers; rape as crime of war";19
42909;"29-Jun-96";"Sharing Consolation After the Shock in Saudi Arabia";"bombing of US base in saudi arabia";19
42920;"30-Jun-96";"Western Allies Press To Oust Bosnia Serb";"G7 pressures Serbia with UN trade sanctions";19
42932;"2-Jul-96";"Frustrated Legislators Know When to Vote, Not for What";"NY legislature battle";24
42943;"3-Jul-96";"1996 Data Show Crime Rates Are Still Falling in New York";"crime rates in NY";12
42954;"4-Jul-96";"Burial for Captain Killed in Truck Bombing";"bombing victim buried";19
42966;"5-Jul-96";"Graft Inquiry in Mexico Ties Zedillo to Disputed Payment";"graft in mexico";19
42976;"6-Jul-96";"Official Says Militia Weighed Attacking Families of Agents";"militia fighting the government";16
42988;"8-Jul-96";"FEDERAL PROGRAM WILL TRACK SALES OF GUNS TO YOUTHS";"gun sales to youth";12
42999;"9-Jul-96";"Tall Ship Preens for Visitors";"portugese ship visits";16
43010;"10-Jul-96";"Hartford Court Bars Imbalance In the Schools";"connecticut rules on segregated schools";2
43022;"11-Jul-96";"LEADERS IN ALBANY CLEAR ROADBLOCK TO A NEW BUDGET";"NY budget";24
43025;"12-Jul-96";"Dole Says N.A.A.C.P. Invitation Was Leader's Bid 'to Set Me Up'";"bob dole and the NAACP";2
43044;"13-Jul-96";"Despite Brawl After a Match, Bouts Will Stay at the Garden";"boxing";29
43055;"15-Jul-96";"Falling Yen Puts Car Makers In Japan in the Driver's Seat";"japanese car makers";19
43066;"16-Jul-96";"THE OTHER DOLE -- A special report.; Elizabeth Dole Is Eager To Keep Strength Subtle";"elizabeth dole";20
43077;"17-Jul-96";"OLYMPICS; Everything but Medals at the Olympic Village";"olympic village diets";29
43088;"18-Jul-96";"Wall Street Is Calmer As Stocks Rise Again";"stock market increase";15
43100;"20-Jul-96";"Multiracial Americans Ready To Claim Their Own Identity";"multiracial americans";2
43112;"21-Jul-96";"Olympic Diary; Added Game for Atlanta: Define (Find) a Redneck";"olympics in atlanta";29
43124;"23-Jul-96";"For the Third Time, a Gold in His Pocket";"olympics";29
43134;"24-Jul-96";"To the Hopeless, a Cancer 'Cure' Beckons";"people hoping for a cancer cure";3
43146;"25-Jul-96";"A FOOD INFECTION ALARMS JAPANESE";"food poisoning in japan";19
43157;"26-Jul-96";"THE FATE OF FLIGHT 800: THE DATA; Record of Quick Destruction: Briefest Sound, Then Silence";"investigation of TWA flight 800";10
43168;"28-Jul-96";"BOMB AT THE OLYMPICS: THE OVERVIEW; OLYMPICS PARK BLAST KILLS ONE, HURTS 111; ATLANTA GAMES GO ON";"olympic bombing";16
43178;"29-Jul-96";"If Immigrants Lose U.S. Aid, Local Budgets May Feel Pain";"immigrants and welfare";13
43190;"30-Jul-96";"ISRAEL MAPS ROADS ACROSS WEST BANK";"israel building roads in the west bank";19
43202;"1-Aug-96";"Lawmakers Advance On Health Insurance";"health insurance bill advances";3
43213;"2-Aug-96";"2 Acquitted by Whitewater Jury; Mistrial Declared on Other Counts";"whitewater trial";20
43223;"3-Aug-96";"With a Stable Economy, Clinton Hopes for Credit";"clinton and the economy";1
43235;"4-Aug-96";"THE FATE OF FLIGHT 800: THE FUTURE; Once Crash's Cause Is Found, a Harder Puzzle";"TWA crash investigation";10
43247;"5-Aug-96";"Women's New Relationship With Fashion";"women and fashion";28
43259;"7-Aug-96";"POLITICS: THE FRESHMEN; G.O.P.'S FRESHMEN OUT ON THE STUMP";"GOP freshman campaigning";20
43274;"8-Aug-96";"Some Cured of Sickle Cell Disease By Transplants of Bone Marrow";"sickle cell disease treatment";3
43282;"9-Aug-96";"A POLITICAL LIFE: The Legislative Years -- THE REPUBLICAN; As Candidate, Dole Casts Off His Feats as a Skilled Senator";"bob dole candidacy";20
43293;"10-Aug-96";"Looking Shaky, Yeltsin Takes Oath of Office";"boris yeltsin is sworn into office";19
43304;"12-Aug-96";"POLITICS: THE DELEGATES; The Delegates: Where Image Meets Reality";"republican party convention";20
43316;"13-Aug-96";"THE REPUBLICANS: THE GENERAL; Powell Outlines Vision of Party For All Views";"colin powell speaks at the GOP convention";20
43327;"14-Aug-96";"Powell Seeks Distance";"colin powell at the GOP convention";20
43338;"16-Aug-96";"GIULIANI DEMANDS MORE BUDGET CUTS";"ny state budget";24
43349;"17-Aug-96";"Bosnian Rulers Are Terrorizing The Opposition";"bosnian rulers intimidating people";19
43361;"18-Aug-96";"Finishing a 500-Year-Old Dream";"a leonardo da vinci statue";28
43374;"20-Aug-96";"Criminal and Welfare Rules Raise New Issues of Fairness";"welfare rules";13
43383;"21-Aug-96";"Aide to Yeltsin Disputes Orders Over Chechnya";"yeltsin and chechnya";19
43395;"22-Aug-96";"NEW REPORT CITED ON CHEMICAL ARMS USED IN GULF WAR";"report on chemical weapons in the gulf war";16
43406;"23-Aug-96";"S.A.T. Scores Rise, College Board Says";"SAT scores";6
43417;"25-Aug-96";"WELFARE CLIENTS OUTNUMBER JOBS THEY MIGHT FILL";"welfare reform problems";13
43430;"26-Aug-96";"Police Hit Drug Suppliers, And Serious Crime Falls";"antidrug efforts";12
43440;"27-Aug-96";"THE DEMOCRATS: THE IMPACT; No Gathering of Ideas";"democratic convention";20
43452;"28-Aug-96";"A Day of Fresh Starts, and Mourning What Might Have Been";"TWA crash victims' school";10
43463;"30-Aug-96";"THE DEMOCRATS: THE RESIGNATION; Call-Girl Story Costs President A Key Strategist";"clinton strategist resigns over call girl scandal";20
43475;"31-Aug-96";"More Traces Of Explosive In Flight 800";"flight 800 crash investigation";10
43485;"1-Sep-96";"POLITICS: THE OVERVIEW; CLINTON AND DOLE SHARPEN MESSAGES IN RACE'S FINAL LEG";"presidential campaign";20
43496;"2-Sep-96";"Girl, 4, Is Dead in Manhattan And Her Mother Is Charged";"girl killed in manhattan";12
43507;"4-Sep-96";"Choices Reshaping Schools Landscape";"school choice movement";6
43518;"5-Sep-96";"Clinton Ex-Partner Is Held in Contempt In Whitewater Case";"whitewater case";20
43532;"6-Sep-96";"Hurricane Fran Pounds Coast Of Carolinas";"hurricane in carolina";26
43541;"8-Sep-96";"POLITICS: CAMPAIGN FINANCE; LOOPHOLES ALLOW PRESIDENTIAL RACE TO SET A RECORD";"campaign finance in the presidential election";20
43553;"9-Sep-96";"In Westchester, Welfare Meets Managed Care";"welfare and health care";3
43565;"11-Sep-96";"Russian Power Shift For Yeltsin's Surgery";"boris yeltsin has surgery";19
43575;"12-Sep-96";"POLITICS: THE MONEY; A Hollywood Production: Political Money";"clinton fundraising in hollywood";20
43586;"13-Sep-96";"POLITICS: THE CONGRESS; SENATE PERSUADED BY DOLE TO SHELVE POISON GAS TREATY";"treaty on poison gas";16
43598;"14-Sep-96";"L.I. Veto Kills Bill to Require Use of English";"english only measure vetoed";5
43611;"16-Sep-96";"U.S. WARNING IRAQ THAT NEW ATTACKS ARE STILL POSSIBLE";"US may attack iraq again";16
43622;"17-Sep-96";"U.S. Command Faulted in Blast At Saudi Base";"report on a terror attack on a US base in saudi arabia";19
43633;"18-Sep-96";"POLITICS: THE DEBATES; Panel on Debates Bars Perot, Calling Him Unelectable";"ross perot barred from debates";20
43644;"19-Sep-96";"Abortion Lobbyists Battle";"abortion fight";2
43655;"21-Sep-96";"Summer's Last Waves";"summer weather";26
43666;"22-Sep-96";"Russian Surgeons Deliver A Grim Report on Yeltsin";"boris yeltsin's health";19
43679;"23-Sep-96";"New York Union Leader Urges Halt to Broadening Workfare";"union leader and a NYC workfare program";5
43690;"24-Sep-96";"CLINTON SIGNS BILL FOR $256.6 BILLION FOR ARMED FORCES";"clinton signs bills funding the military";16
43701;"26-Sep-96";"POLITICS: NEWS ANALYSIS; A Muted Dole Persona";"bob dole campaign";20
43713;"27-Sep-96";"MIDDLE EAST CONFLICT: THE PALESTINIANS; Among Arabs, Dashed Hope Brought Resentment to a Boil";"fighting in the mideast";19
43724;"28-Sep-96";"POLITICS: THE MONEY; Campaign Cash Flows Freely In Spite of 'No PAC' Pledges";"campaign funding";20
43735;"30-Sep-96";"U.S. USING SWAPS TO PROTECT LAND";"clinton trying to protect land";21
43746;"1-Oct-96";"Kmart Changes Its Tune, to 'Manhattan'";"kmart in manhattan";14
43758;"2-Oct-96";"So Much for History: Texas Wins Game 1 From Yankees";"baseball playoffs";29
43769;"4-Oct-96";"Senate Approves Bill to Preserve Parks, Including Sterling Forest";"senate approves a forest preservation bill";7
43781;"5-Oct-96";"Campaign Debate Gives Hartford An Opportunity to Promote Itself";"presidential debate";20
43791;"6-Oct-96";"POLITICS -- Political Battle of the Sexes Is Tougher Than Ever; For Many White Men, Clinton's the Reason To Vote for Dole";"men and the presidential election";20
43804;"7-Oct-96";"A Weak Housing Agency Seems to Be a Step Behind";"NYC housing agency";14
43815;"8-Oct-96";"POLITICS: THE REPUBLICAN; DOLE, FULL OF ZIP, GOES AFTER VOTERS FROM NEW JERSEY";"bob dole campaigns in new jersey";20
43826;"10-Oct-96";"POLITICS: THE VICE-PRESIDENTIAL DEBATE; Economy Dominates Kemp-Gore Debate";"VP debate";20
43838;"11-Oct-96";"PLAYOFFS; Boy Who Saved the Yankees Becomes a Man About Town";"baseball";29
43849;"12-Oct-96";"After 3 Days in the Spotlight, Nobel Prize Winner Is Dead";"nobel prize winner dies";30
43860;"13-Oct-96";"Special Tax Breaks Enrich Savings Of Many in the Ranks of Management";"tax breaks and presidential candidates";1
43871;"15-Oct-96";"POLITICS: THE REPUBLICAN; Shifting Tone of Campaign, Dole Presses the Ethics Issue";"bob dole talks about ethics";20
43882;"16-Oct-96";"Ancient Scythian Bones Inspire New Perspective";"an archaeological find";17
43893;"17-Oct-96";"Japan Tries Aggressive Campaigning, Politely";"japanese politics";19
43905;"18-Oct-96";"View of Dole From '70";"bob dole in 1970";20
43916;"19-Oct-96";"Officer Shot Dead in Brooklyn; Suspect Killed by Police Gunfire";"police officer killed in brooklyn";12
43927;"20-Oct-96";"POLITICS: STATE BY STATE -- CALIFORNIA; Focus Shifts To Contests In the House";"presidential race in california";20
43938;"22-Oct-96";"Indian Tribes' Creationists Thwart Archeologists";"archaeology find";17
43950;"23-Oct-96";"WORLD SERIES '96; Cone Pitches the Yankees To Victory Over the Braves";"baseball";29
43960;"24-Oct-96";"POLITICS: THE INITIATIVES; Voters Facing A Record Year For Initiatives";"ballot initiatives";24
43972;"25-Oct-96";"WORLD SERIES '96; Yanks Win a Seat-Squirmer To Move a Game From Title";"baseball";29
43983;"27-Oct-96";"WORLD SERIES '96; Comeback Is Complete: Yanks Win the Series";"yankees win baseball world series";29
43994;"28-Oct-96";"POLITICS: THE DEMOCRAT; CLINTON CAMPAIGN PUTS AN EMPHASIS ON FEMALE VOTERS";"clinton campaign and women";20
44005;"30-Oct-96";"Democrats Release Records";"democratic party releases fundraising records";20
44017;"31-Oct-96";"HIGH COURT ASKED TO REVERSE RULING IN A RELIGION CASE";"supreme court ruling on religion and schools";31
44027;"1-Nov-96";"BOOM IN PROFITS FOR CORPORATIONS NOW APPEARS OVER";"corporate profits down";15
44039;"2-Nov-96";"AN AMERICAN PLACE; Paper Reflects Change";"paper endorses clinton for president";20
44051;"3-Nov-96";"POLITICS; ELECTION '96";"presidential election";20
